park,year,PTP,species,sex,number,survey_class,ecoregion,latitude,longitude,plot,transect,point,water,wetland,shrub,dshrub,dec,mixed,spruce,baresnow,elev_m,jdate,radius,sound,obsnum
KATM,2005,184810304,AMRO,M,2,FIVE,AP,59.07006064,-154.9127523,18481,3,4,0.0,0.0,0.955271566,0.044728435,0.0,0.0,0.0,0.0,289.3033263,137,50.0,0.18,2
LACL,2004,208800104,AMPI,M,2,FIVE,AR,60.15261931,-153.6105499,20880,1,4,0.0,0.0,0.0,0.596214511,0.0,0.0,0.0,0.403785489,909.91944,141,150.0,0.0,1
KATM,2005,182360203,DEJU,M,2,FIVE,AP,58.90640616,-155.7500411,18236,2,3,0.0,0.0,0.231746032,0.101587302,0.015873016,0.142857143,0.507936508,0.0,107.9794105,134,150.0,0.65,2
LACL,2006,204060201,FOSP,U,2,FIVE,AR,60.01891882,-152.8694779,20406,2,1,0.006349206,0.0,0.977777778,0.0,0.0,0.0,0.015873016,0.0,366.1931368,155,150.0,0.0,1
LACL,2004,218350105,ROPT,U,2,FIVE,LH,60.46074646,-153.9178091,21835,1,5,0.0,0.0,0.289389068,0.710610932,0.0,0.0,0.0,0.0,628.0476571,140,150.0,0.0,2
KATM,2006,158520101,GCSP,U,2,FIVE,AP,58.11542524,-154.4860892,15852,1,1,0.0,0.0,0.87012987,0.016233766,0.0,0.0,0.0,0.113636364,339.3294857,151,150.0,0.8,1
KATM,2006,158520102,FOSP,U,2,FIVE,AP,58.11448261,-154.4948846,15852,1,2,0.0,0.0,0.650641026,0.041666667,0.0,0.0,0.0,0.307692308,365.7760421,151,150.0,0.0,1
LACL,2004,218350107,WIPT,U,2,FIVE,LH,60.45704694,-153.9346339,21835,1,7,0.0,0.0,0.406349206,0.501587302,0.0,0.003174603,0.088888889,0.0,614.46156,140,150.0,0.0,2
KATM,2005,168000302,SAVS,U,2,FIVE,BBL,58.34813654,-155.9968311,16800,3,2,0.0,0.0,0.691823899,0.308176101,0.0,0.0,0.0,0.0,408.5603368,132,150.0,0.4,2
LACL,2004,232670105,AMRO,U,5,FIVE,LH,60.98368937,-154.4837752,23267,1,5,0.0,0.0,0.396825397,0.580952381,0.022222222,0.0,0.0,0.0,735.1936421,146,150.0,0.0,2
KATM,2006,163310302,ROPT,MF,2,FIVE,AP,58.29168946,-154.4014526,16331,3,2,0.0,0.0,0.100946372,0.211356467,0.0,0.0,0.0,0.687697161,502.2462316,150,150.0,0.0,1
KATM,2005,168050301,WIPT,MF,2,FIVE,AP,58.41065347,-155.0764204,16805,3,1,0.0,0.0,0.054487179,0.246794872,0.0,0.0,0.0,0.698717949,616.03128,141,150.0,0.2,2
KATM,2005,184810101,ROPT,MF,2,FIVE,AP,59.13564141,-154.8143635,18481,1,1,0.0,0.0,0.025316456,0.405063291,0.0,0.0,0.0,0.569620253,747.26292,136,50.0,0.0,2
KATM,2005,170390404,DEJU,MF,2,FIVE,AP,58.4114635,-155.9572256,17039,4,4,0.0,0.0,0.458860759,0.003164557,0.344936709,0.041139241,0.151898734,0.0,160.73628,145,150.0,1.0,2
LACL,2004,232740203,DEJU,F,1,FIVE,AR,61.04707232,-153.2792309,23274,2,3,0.045016077,0.028938907,0.411575563,0.0,0.025723473,0.032154341,0.45659164,0.0,454.03008,148,50.0,0.3,1
KATM,2005,175250116,ROPT,F,1,FIVE,AP,58.73820852,-154.7826366,17525,1,16,0.0,0.0,0.101587302,0.898412698,0.0,0.0,0.0,0.0,837.7989474,140,50.0,0.0,2
LACL,2004,206380102,AMPI,F,1,FIVE,AR,60.01029585,-154.1178282,20638,1,2,0.0,0.0,0.0,0.584664537,0.0,0.0,0.0,0.415335463,996.9526737,140,150.0,0.0,1
KATM,2005,177610202,ROPT,F,1,FIVE,AP,58.7677093,-155.2675953,17761,2,2,0.0,0.0,0.107936508,0.704761905,0.0,0.0,0.0,0.187301587,815.8693895,136,150.0,0.0,1
KATM,2005,168090109,AMPI,F,1,FIVE,AP,58.53651102,-154.4279654,16809,1,9,0.0,0.0,0.439873418,0.471518987,0.0,0.0,0.0,0.088607595,409.956,141,50.0,0.0,2
LACL,2004,206380203,DEJU,F,1,FIVE,AR,59.97301533,-154.0645081,20638,2,3,0.0,0.0,0.867088608,0.0,0.0,0.018987342,0.113924051,0.0,455.7485714,140,150.0,0.0,1
KATM,2005,184760112,AMRO,F,1,FIVE,AP,58.96269081,-155.7202057,18476,1,12,0.0,0.0,0.364217252,0.265175719,0.0,0.019169329,0.3514377,0.0,138.2829474,134,50.0,0.0,2
KATM,2005,177590301,DEJU,M,1,FIVE,AP,58.70333143,-155.571904,17759,3,1,0.0,0.0,0.041139241,0.0,0.205696203,0.503164557,0.25,0.0,164.592,136,50.0,1.0,1
KATM,2005,177590301,WIWA,M,1,FIVE,AP,58.70333143,-155.571904,17759,3,1,0.0,0.0,0.041139241,0.0,0.205696203,0.503164557,0.25,0.0,164.592,136,50.0,1.0,1
KATM,2005,177590301,YRWA,M,1,FIVE,AP,58.70333143,-155.571904,17759,3,1,0.0,0.0,0.041139241,0.0,0.205696203,0.503164557,0.25,0.0,164.592,136,50.0,1.0,1
KATM,2005,177590301,YRWA,M,1,FIVE,AP,58.70333143,-155.571904,17759,3,1,0.0,0.0,0.041139241,0.0,0.205696203,0.503164557,0.25,0.0,164.592,136,50.0,1.0,1
LACL,2004,232740201,DEJU,M,1,FIVE,AR,61.05027596,-153.2674362,23274,2,1,0.0,0.0,0.525641026,0.0,0.006410256,0.064102564,0.102564103,0.301282051,464.3628,148,50.0,0.0,1
LACL,2004,232740201,WCSP,M,1,FIVE,AR,61.05027596,-153.2674362,23274,2,1,0.0,0.0,0.525641026,0.0,0.006410256,0.064102564,0.102564103,0.301282051,464.3628,148,50.0,0.0,1
LACL,2004,232740201,WCSP,M,1,FIVE,AR,61.05027596,-153.2674362,23274,2,1,0.0,0.0,0.525641026,0.0,0.006410256,0.064102564,0.102564103,0.301282051,464.3628,148,50.0,0.0,1
LACL,2004,232740201,YRWA,M,1,FIVE,AR,61.05027596,-153.2674362,23274,2,1,0.0,0.0,0.525641026,0.0,0.006410256,0.064102564,0.102564103,0.301282051,464.3628,148,50.0,0.0,1
LACL,2004,232740201,YRWA,M,1,FIVE,AR,61.05027596,-153.2674362,23274,2,1,0.0,0.0,0.525641026,0.0,0.006410256,0.064102564,0.102564103,0.301282051,464.3628,148,50.0,0.0,1
LACL,2004,232740201,YRWA,M,1,FIVE,AR,61.05027596,-153.2674362,23274,2,1,0.0,0.0,0.525641026,0.0,0.006410256,0.064102564,0.102564103,0.301282051,464.3628,148,50.0,0.0,1
LACL,2004,220750201,AMRO,M,1,FIVE,LH,60.55450995,-153.8219194,22075,2,1,0.0,0.0,0.696485623,0.0,0.025559105,0.124600639,0.153354633,0.0,607.58832,142,150.0,0.0,2
LACL,2004,220750201,FOSP,M,1,FIVE,LH,60.55450995,-153.8219194,22075,2,1,0.0,0.0,0.696485623,0.0,0.025559105,0.124600639,0.153354633,0.0,607.58832,142,150.0,0.0,2
LACL,2004,220750201,GCSP,M,1,FIVE,LH,60.55450995,-153.8219194,22075,2,1,0.0,0.0,0.696485623,0.0,0.025559105,0.124600639,0.153354633,0.0,607.58832,142,150.0,0.0,2
LACL,2004,220750201,WCSP,M,1,FIVE,LH,60.55450995,-153.8219194,22075,2,1,0.0,0.0,0.696485623,0.0,0.025559105,0.124600639,0.153354633,0.0,607.58832,142,150.0,0.0,2
LACL,2004,220750201,YRWA,M,1,FIVE,LH,60.55450995,-153.8219194,22075,2,1,0.0,0.0,0.696485623,0.0,0.025559105,0.124600639,0.153354633,0.0,607.58832,142,150.0,0.0,2
LACL,2004,232700201,AMRO,M,1,FIVE,AR,60.98319392,-153.91978,23270,2,1,0.038461538,0.0,0.320512821,0.0,0.041666667,0.169871795,0.429487179,0.0,380.7387429,147,50.0,0.0,1
LACL,2004,223180101,ATSP,M,1,FIVE,AR,60.71390256,-153.0469119,22318,1,1,0.0,0.0,0.770700637,0.21656051,0.0,0.012738854,0.0,0.0,781.5072,149,150.0,0.0,1
LACL,2004,232700201,OCWA,M,1,FIVE,AR,60.98319392,-153.91978,23270,2,1,0.038461538,0.0,0.320512821,0.0,0.041666667,0.169871795,0.429487179,0.0,380.7387429,147,50.0,0.0,1
LACL,2004,223180101,ROPT,M,1,FIVE,AR,60.71390256,-153.0469119,22318,1,1,0.0,0.0,0.770700637,0.21656051,0.0,0.012738854,0.0,0.0,781.5072,149,150.0,0.0,1
LACL,2004,232700201,WCSP,M,1,FIVE,AR,60.98319392,-153.91978,23270,2,1,0.038461538,0.0,0.320512821,0.0,0.041666667,0.169871795,0.429487179,0.0,380.7387429,147,50.0,0.0,1
LACL,2004,232700201,WIWA,M,1,FIVE,AR,60.98319392,-153.91978,23270,2,1,0.038461538,0.0,0.320512821,0.0,0.041666667,0.169871795,0.429487179,0.0,380.7387429,147,50.0,0.0,1
LACL,2004,232700201,YRWA,M,1,FIVE,AR,60.98319392,-153.91978,23270,2,1,0.038461538,0.0,0.320512821,0.0,0.041666667,0.169871795,0.429487179,0.0,380.7387429,147,50.0,0.0,1
LACL,2004,232700201,YRWA,M,1,FIVE,AR,60.98319392,-153.91978,23270,2,1,0.038461538,0.0,0.320512821,0.0,0.041666667,0.169871795,0.429487179,0.0,380.7387429,147,50.0,0.0,1
LACL,2006,206450201,FOSP,M,1,FIVE,AR,60.11900646,-152.8980485,20645,2,1,0.0,0.0,0.116352201,0.374213836,0.0,0.0,0.0,0.509433962,705.9488842,155,150.0,0.0,1
LACL,2006,206450201,GCSP,M,1,FIVE,AR,60.11900646,-152.8980485,20645,2,1,0.0,0.0,0.116352201,0.374213836,0.0,0.0,0.0,0.509433962,705.9488842,155,150.0,0.0,1
LACL,2006,206450201,GCSP,M,1,FIVE,AR,60.11900646,-152.8980485,20645,2,1,0.0,0.0,0.116352201,0.374213836,0.0,0.0,0.0,0.509433962,705.9488842,155,150.0,0.0,1
LACL,2006,206450201,SAVS,M,1,FIVE,AR,60.11900646,-152.8980485,20645,2,1,0.0,0.0,0.116352201,0.374213836,0.0,0.0,0.0,0.509433962,705.9488842,155,150.0,0.0,1
KATM,2005,165620201,AMRO,M,1,FIVE,AP,58.27263881,-155.7315981,16562,2,1,0.0,0.0,0.939297125,0.060702875,0.0,0.0,0.0,0.0,484.2546286,132,150.0,0.35,1
KATM,2005,165620201,FOSP,M,1,FIVE,AP,58.27263881,-155.7315981,16562,2,1,0.0,0.0,0.939297125,0.060702875,0.0,0.0,0.0,0.0,484.2546286,132,150.0,0.35,1
KATM,2005,165620201,FOSP,M,1,FIVE,AP,58.27263881,-155.7315981,16562,2,1,0.0,0.0,0.939297125,0.060702875,0.0,0.0,0.0,0.0,484.2546286,132,150.0,0.35,1
KATM,2005,165620201,GCSP,M,1,FIVE,AP,58.27263881,-155.7315981,16562,2,1,0.0,0.0,0.939297125,0.060702875,0.0,0.0,0.0,0.0,484.2546286,132,150.0,0.35,1
KATM,2005,165620201,GCSP,M,1,FIVE,AP,58.27263881,-155.7315981,16562,2,1,0.0,0.0,0.939297125,0.060702875,0.0,0.0,0.0,0.0,484.2546286,132,150.0,0.35,1
LACL,2004,218350102,GCSP,M,1,FIVE,LH,60.46335549,-153.8895479,21835,1,2,0.0,0.0,0.227564103,0.676282051,0.0,0.0,0.0,0.096153846,670.8648,140,150.0,0.0,2
LACL,2004,218350102,GCSP,M,1,FIVE,LH,60.46335549,-153.8895479,21835,1,2,0.0,0.0,0.227564103,0.676282051,0.0,0.0,0.0,0.096153846,670.8648,140,150.0,0.0,2
LACL,2004,218350102,GCSP,M,1,FIVE,LH,60.46335549,-153.8895479,21835,1,2,0.0,0.0,0.227564103,0.676282051,0.0,0.0,0.0,0.096153846,670.8648,140,150.0,0.0,2
LACL,2004,218350102,GCSP,M,1,FIVE,LH,60.46335549,-153.8895479,21835,1,2,0.0,0.0,0.227564103,0.676282051,0.0,0.0,0.0,0.096153846,670.8648,140,150.0,0.0,2
KATM,2006,170520101,FOSP,M,1,FIVE,AP,58.62840869,-153.7804519,17052,1,1,0.0,0.0,0.717041801,0.282958199,0.0,0.0,0.0,0.0,450.67728,153,150.0,0.0,1
KATM,2006,170520101,GCSP,M,1,FIVE,AP,58.62840869,-153.7804519,17052,1,1,0.0,0.0,0.717041801,0.282958199,0.0,0.0,0.0,0.0,450.67728,153,150.0,0.0,1
KATM,2006,170520101,HETH,M,1,FIVE,AP,58.62840869,-153.7804519,17052,1,1,0.0,0.0,0.717041801,0.282958199,0.0,0.0,0.0,0.0,450.67728,153,150.0,0.0,1
KATM,2006,170520101,SAVS,M,1,FIVE,AP,58.62840869,-153.7804519,17052,1,1,0.0,0.0,0.717041801,0.282958199,0.0,0.0,0.0,0.0,450.67728,153,150.0,0.0,1
KATM,2006,170520101,SAVS,M,1,FIVE,AP,58.62840869,-153.7804519,17052,1,1,0.0,0.0,0.717041801,0.282958199,0.0,0.0,0.0,0.0,450.67728,153,150.0,0.0,1
KATM,2006,170520101,WIWA,M,1,FIVE,AP,58.62840869,-153.7804519,17052,1,1,0.0,0.0,0.717041801,0.282958199,0.0,0.0,0.0,0.0,450.67728,153,150.0,0.0,1
KATM,2006,170520101,WIWA,M,1,FIVE,AP,58.62840869,-153.7804519,17052,1,1,0.0,0.0,0.717041801,0.282958199,0.0,0.0,0.0,0.0,450.67728,153,150.0,0.0,1
LACL,2004,232740202,YRWA,M,1,FIVE,AR,61.04592014,-153.2701074,23274,2,2,0.0,0.0,0.212698413,0.0,0.0,0.13015873,0.46984127,0.187301587,441.8637474,148,50.0,1.0,1
LACL,2004,232740202,YRWA,M,1,FIVE,AR,61.04592014,-153.2701074,23274,2,2,0.0,0.0,0.212698413,0.0,0.0,0.13015873,0.46984127,0.187301587,441.8637474,148,50.0,1.0,1
LACL,2004,232740202,YRWA,M,1,FIVE,AR,61.04592014,-153.2701074,23274,2,2,0.0,0.0,0.212698413,0.0,0.0,0.13015873,0.46984127,0.187301587,441.8637474,148,50.0,1.0,1
LACL,2004,213570201,DEJU,M,1,FIVE,LH,60.27619489,-153.9306845,21357,2,1,0.0,0.0,0.0,0.0,0.03525641,0.112179487,0.852564103,0.0,133.22808,143,50.0,1.0,1
LACL,2004,213570201,DEJU,M,1,FIVE,LH,60.27619489,-153.9306845,21357,2,1,0.0,0.0,0.0,0.0,0.03525641,0.112179487,0.852564103,0.0,133.22808,143,50.0,1.0,1
LACL,2004,213570201,YRWA,M,1,FIVE,LH,60.27619489,-153.9306845,21357,2,1,0.0,0.0,0.0,0.0,0.03525641,0.112179487,0.852564103,0.0,133.22808,143,50.0,1.0,1
LACL,2004,213570201,YRWA,M,1,FIVE,LH,60.27619489,-153.9306845,21357,2,1,0.0,0.0,0.0,0.0,0.03525641,0.112179487,0.852564103,0.0,133.22808,143,50.0,1.0,1
KATM,2005,187170114,AMRO,M,1,FIVE,AP,59.11888003,-155.4251833,18717,1,14,0.0,0.0,0.163461538,0.836538462,0.0,0.0,0.0,0.0,286.7686737,136,50.0,0.0,2
KATM,2005,187170114,AMRO,M,1,FIVE,AP,59.11888003,-155.4251833,18717,1,14,0.0,0.0,0.163461538,0.836538462,0.0,0.0,0.0,0.0,286.7686737,136,50.0,0.0,2
KATM,2005,187170114,ATSP,M,1,FIVE,AP,59.11888003,-155.4251833,18717,1,14,0.0,0.0,0.163461538,0.836538462,0.0,0.0,0.0,0.0,286.7686737,136,50.0,0.0,2
KATM,2005,187170114,ATSP,M,1,FIVE,AP,59.11888003,-155.4251833,18717,1,14,0.0,0.0,0.163461538,0.836538462,0.0,0.0,0.0,0.0,286.7686737,136,50.0,0.0,2
KATM,2005,187170114,FOSP,M,1,FIVE,AP,59.11888003,-155.4251833,18717,1,14,0.0,0.0,0.163461538,0.836538462,0.0,0.0,0.0,0.0,286.7686737,136,50.0,0.0,2
KATM,2005,187170114,GCSP,M,1,FIVE,AP,59.11888003,-155.4251833,18717,1,14,0.0,0.0,0.163461538,0.836538462,0.0,0.0,0.0,0.0,286.7686737,136,50.0,0.0,2
KATM,2005,187170114,GCSP,M,1,FIVE,AP,59.11888003,-155.4251833,18717,1,14,0.0,0.0,0.163461538,0.836538462,0.0,0.0,0.0,0.0,286.7686737,136,50.0,0.0,2
KATM,2005,187170114,OCWA,M,1,FIVE,AP,59.11888003,-155.4251833,18717,1,14,0.0,0.0,0.163461538,0.836538462,0.0,0.0,0.0,0.0,286.7686737,136,50.0,0.0,2
KATM,2005,187170114,OCWA,M,1,FIVE,AP,59.11888003,-155.4251833,18717,1,14,0.0,0.0,0.163461538,0.836538462,0.0,0.0,0.0,0.0,286.7686737,136,50.0,0.0,2
KATM,2005,187170114,OCWA,M,1,FIVE,AP,59.11888003,-155.4251833,18717,1,14,0.0,0.0,0.163461538,0.836538462,0.0,0.0,0.0,0.0,286.7686737,136,50.0,0.0,2
KATM,2005,187170114,SAVS,M,1,FIVE,AP,59.11888003,-155.4251833,18717,1,14,0.0,0.0,0.163461538,0.836538462,0.0,0.0,0.0,0.0,286.7686737,136,50.0,0.0,2
KATM,2005,187170114,WIWA,M,1,FIVE,AP,59.11888003,-155.4251833,18717,1,14,0.0,0.0,0.163461538,0.836538462,0.0,0.0,0.0,0.0,286.7686737,136,50.0,0.0,2
KATM,2005,187170114,WIWA,M,1,FIVE,AP,59.11888003,-155.4251833,18717,1,14,0.0,0.0,0.163461538,0.836538462,0.0,0.0,0.0,0.0,286.7686737,136,50.0,0.0,2
LACL,2004,208750401,DEJU,M,1,FIVE,AR,60.03675442,-154.5723316,20875,4,1,0.0,0.0,0.946031746,0.053968254,0.0,0.0,0.0,0.0,363.5782737,139,150.0,0.0,1
LACL,2004,208750401,HETH,M,1,FIVE,AR,60.03675442,-154.5723316,20875,4,1,0.0,0.0,0.946031746,0.053968254,0.0,0.0,0.0,0.0,363.5782737,139,150.0,0.0,1
LACL,2004,208750401,HETH,M,1,FIVE,AR,60.03675442,-154.5723316,20875,4,1,0.0,0.0,0.946031746,0.053968254,0.0,0.0,0.0,0.0,363.5782737,139,150.0,0.0,1
LACL,2004,208750401,OCWA,M,1,FIVE,AR,60.03675442,-154.5723316,20875,4,1,0.0,0.0,0.946031746,0.053968254,0.0,0.0,0.0,0.0,363.5782737,139,150.0,0.0,1
LACL,2004,208750401,WIWA,M,1,FIVE,AR,60.03675442,-154.5723316,20875,4,1,0.0,0.0,0.946031746,0.053968254,0.0,0.0,0.0,0.0,363.5782737,139,150.0,0.0,1
KATM,2006,163310301,FOSP,M,1,FIVE,AP,58.29591595,-154.404485,16331,3,1,0.0,0.0,0.0,0.01910828,0.0,0.0,0.0,0.98089172,559.3561263,150,150.0,0.0,1
KATM,2006,163310301,FOSP,M,1,FIVE,AP,58.29591595,-154.404485,16331,3,1,0.0,0.0,0.0,0.01910828,0.0,0.0,0.0,0.98089172,559.3561263,150,150.0,0.0,1
LACL,2004,232700202,YRWA,M,1,FIVE,AR,60.98783028,-153.9190385,23270,2,2,0.0,0.0,0.231746032,0.0,0.041269841,0.457142857,0.26984127,0.0,478.6162105,147,50.0,0.0,1
LACL,2004,232700202,YRWA,M,1,FIVE,AR,60.98783028,-153.9190385,23270,2,2,0.0,0.0,0.231746032,0.0,0.041269841,0.457142857,0.26984127,0.0,478.6162105,147,50.0,0.0,1
KATM,2005,175250113,WIPT,M,1,FIVE,AP,58.74121444,-154.758371,17525,1,13,0.0,0.0,0.060897436,0.939102564,0.0,0.0,0.0,0.0,712.1571789,140,50.0,0.0,2
KATM,2006,160910201,FOSP,M,1,FIVE,AP,58.25021991,-154.4397577,16091,2,1,0.0,0.0,0.83974359,0.028846154,0.0,0.0,0.0,0.131410256,401.6943158,150,150.0,0.0,1
KATM,2006,160910201,FOSP,M,1,FIVE,AP,58.25021991,-154.4397577,16091,2,1,0.0,0.0,0.83974359,0.028846154,0.0,0.0,0.0,0.131410256,401.6943158,150,150.0,0.0,1
KATM,2006,160910201,FOSP,M,1,FIVE,AP,58.25021991,-154.4397577,16091,2,1,0.0,0.0,0.83974359,0.028846154,0.0,0.0,0.0,0.131410256,401.6943158,150,150.0,0.0,1
KATM,2006,160910201,GCSP,M,1,FIVE,AP,58.25021991,-154.4397577,16091,2,1,0.0,0.0,0.83974359,0.028846154,0.0,0.0,0.0,0.131410256,401.6943158,150,150.0,0.0,1
KATM,2006,160910201,GCSP,M,1,FIVE,AP,58.25021991,-154.4397577,16091,2,1,0.0,0.0,0.83974359,0.028846154,0.0,0.0,0.0,0.131410256,401.6943158,150,150.0,0.0,1
KATM,2006,160910201,WIWA,M,1,FIVE,AP,58.25021991,-154.4397577,16091,2,1,0.0,0.0,0.83974359,0.028846154,0.0,0.0,0.0,0.131410256,401.6943158,150,150.0,0.0,1
KATM,2006,160910201,WIWA,M,1,FIVE,AP,58.25021991,-154.4397577,16091,2,1,0.0,0.0,0.83974359,0.028846154,0.0,0.0,0.0,0.131410256,401.6943158,150,150.0,0.0,1
LACL,2004,223180102,FOSP,M,1,FIVE,AR,60.71852845,-153.0448875,22318,1,2,0.0,0.0,0.851735016,0.148264984,0.0,0.0,0.0,0.0,784.29612,149,150.0,0.0,1
LACL,2004,223180102,FOSP,M,1,FIVE,AR,60.71852845,-153.0448875,22318,1,2,0.0,0.0,0.851735016,0.148264984,0.0,0.0,0.0,0.0,784.29612,149,150.0,0.0,1
LACL,2004,223180102,GCSP,M,1,FIVE,AR,60.71852845,-153.0448875,22318,1,2,0.0,0.0,0.851735016,0.148264984,0.0,0.0,0.0,0.0,784.29612,149,150.0,0.0,1
LACL,2004,223180102,WIWA,M,1,FIVE,AR,60.71852845,-153.0448875,22318,1,2,0.0,0.0,0.851735016,0.148264984,0.0,0.0,0.0,0.0,784.29612,149,150.0,0.0,1
LACL,2004,230310201,AMPI,M,1,FIVE,AR,60.90399231,-153.9118409,23031,2,1,0.0,0.0,0.70096463,0.167202572,0.0,0.106109325,0.025723473,0.0,886.49175,145,150.0,0.0,1
LACL,2004,230310201,AMPI,M,1,FIVE,AR,60.90399231,-153.9118409,23031,2,1,0.0,0.0,0.70096463,0.167202572,0.0,0.106109325,0.025723473,0.0,886.49175,145,150.0,0.0,1
LACL,2004,230310201,SAVS,M,1,FIVE,AR,60.90399231,-153.9118409,23031,2,1,0.0,0.0,0.70096463,0.167202572,0.0,0.106109325,0.025723473,0.0,886.49175,145,150.0,0.0,1
LACL,2004,230310201,WCSP,M,1,FIVE,AR,60.90399231,-153.9118409,23031,2,1,0.0,0.0,0.70096463,0.167202572,0.0,0.106109325,0.025723473,0.0,886.49175,145,150.0,0.0,1
KATM,2005,177610301,ATSP,M,1,FIVE,AP,58.80772811,-155.2716006,17761,3,1,0.258785942,0.089456869,0.015974441,0.635782748,0.0,0.0,0.0,0.0,511.1335579,137,150.0,0.0,1
LACL,2006,206450202,FOSP,M,1,FIVE,AR,60.12127125,-152.8899294,20645,2,2,0.0,0.0,0.208201893,0.312302839,0.0,0.0,0.0,0.479495268,692.13984,155,150.0,0.0,1
LACL,2006,206450202,FOSP,M,1,FIVE,AR,60.12127125,-152.8899294,20645,2,2,0.0,0.0,0.208201893,0.312302839,0.0,0.0,0.0,0.479495268,692.13984,155,150.0,0.0,1
LACL,2006,206450202,HETH,M,1,FIVE,AR,60.12127125,-152.8899294,20645,2,2,0.0,0.0,0.208201893,0.312302839,0.0,0.0,0.0,0.479495268,692.13984,155,150.0,0.0,1
LACL,2006,206450202,ROPT,M,1,FIVE,AR,60.12127125,-152.8899294,20645,2,2,0.0,0.0,0.208201893,0.312302839,0.0,0.0,0.0,0.479495268,692.13984,155,150.0,0.0,1
LACL,2006,206450202,ROPT,M,1,FIVE,AR,60.12127125,-152.8899294,20645,2,2,0.0,0.0,0.208201893,0.312302839,0.0,0.0,0.0,0.479495268,692.13984,155,150.0,0.0,1
KATM,2005,177610301,SAVS,M,1,FIVE,AP,58.80772811,-155.2716006,17761,3,1,0.258785942,0.089456869,0.015974441,0.635782748,0.0,0.0,0.0,0.0,511.1335579,137,150.0,0.0,1
LACL,2006,206450202,SAVS,M,1,FIVE,AR,60.12127125,-152.8899294,20645,2,2,0.0,0.0,0.208201893,0.312302839,0.0,0.0,0.0,0.479495268,692.13984,155,150.0,0.0,1
KATM,2006,158520301,FOSP,M,1,FIVE,AP,58.17625162,-154.4065016,15852,3,1,0.0,0.0,0.031847134,0.031847134,0.0,0.0,0.0,0.936305732,445.008,152,150.0,0.0,1
KATM,2006,158520301,FOSP,M,1,FIVE,AP,58.17625162,-154.4065016,15852,3,1,0.0,0.0,0.031847134,0.031847134,0.0,0.0,0.0,0.936305732,445.008,152,150.0,0.0,1
KATM,2006,158520301,FOSP,M,1,FIVE,AP,58.17625162,-154.4065016,15852,3,1,0.0,0.0,0.031847134,0.031847134,0.0,0.0,0.0,0.936305732,445.008,152,150.0,0.0,1
KATM,2006,158520301,FOSP,M,1,FIVE,AP,58.17625162,-154.4065016,15852,3,1,0.0,0.0,0.031847134,0.031847134,0.0,0.0,0.0,0.936305732,445.008,152,150.0,0.0,1
KATM,2006,158520301,GCSP,M,1,FIVE,AP,58.17625162,-154.4065016,15852,3,1,0.0,0.0,0.031847134,0.031847134,0.0,0.0,0.0,0.936305732,445.008,152,150.0,0.0,1
KATM,2006,158520301,HETH,M,1,FIVE,AP,58.17625162,-154.4065016,15852,3,1,0.0,0.0,0.031847134,0.031847134,0.0,0.0,0.0,0.936305732,445.008,152,150.0,0.0,1
KATM,2006,158520301,ROPT,M,1,FIVE,AP,58.17625162,-154.4065016,15852,3,1,0.0,0.0,0.031847134,0.031847134,0.0,0.0,0.0,0.936305732,445.008,152,150.0,0.0,1
KATM,2005,175160101,AMRO,M,1,FIVE,AP,58.56615898,-156.1410575,17516,1,1,0.0,0.0,0.82428115,0.0,0.150159744,0.0,0.025559105,0.0,261.2296421,133,50.0,0.1,2
KATM,2005,175160101,AMRO,M,1,FIVE,AP,58.56615898,-156.1410575,17516,1,1,0.0,0.0,0.82428115,0.0,0.150159744,0.0,0.025559105,0.0,261.2296421,133,50.0,0.1,2
KATM,2005,175160101,FOSP,M,1,FIVE,AP,58.56615898,-156.1410575,17516,1,1,0.0,0.0,0.82428115,0.0,0.150159744,0.0,0.025559105,0.0,261.2296421,133,50.0,0.1,2
KATM,2005,175160101,GCSP,M,1,FIVE,AP,58.56615898,-156.1410575,17516,1,1,0.0,0.0,0.82428115,0.0,0.150159744,0.0,0.025559105,0.0,261.2296421,133,50.0,0.1,2
KATM,2005,175160101,GCSP,M,1,FIVE,AP,58.56615898,-156.1410575,17516,1,1,0.0,0.0,0.82428115,0.0,0.150159744,0.0,0.025559105,0.0,261.2296421,133,50.0,0.1,2
KATM,2005,175160101,HETH,M,1,FIVE,AP,58.56615898,-156.1410575,17516,1,1,0.0,0.0,0.82428115,0.0,0.150159744,0.0,0.025559105,0.0,261.2296421,133,50.0,0.1,2
KATM,2005,175160101,HETH,M,1,FIVE,AP,58.56615898,-156.1410575,17516,1,1,0.0,0.0,0.82428115,0.0,0.150159744,0.0,0.025559105,0.0,261.2296421,133,50.0,0.1,2
KATM,2005,175160101,OCWA,M,1,FIVE,AP,58.56615898,-156.1410575,17516,1,1,0.0,0.0,0.82428115,0.0,0.150159744,0.0,0.025559105,0.0,261.2296421,133,50.0,0.1,2
KATM,2005,175160101,SAVS,M,1,FIVE,AP,58.56615898,-156.1410575,17516,1,1,0.0,0.0,0.82428115,0.0,0.150159744,0.0,0.025559105,0.0,261.2296421,133,50.0,0.1,2
KATM,2005,175160101,WIWA,M,1,FIVE,AP,58.56615898,-156.1410575,17516,1,1,0.0,0.0,0.82428115,0.0,0.150159744,0.0,0.025559105,0.0,261.2296421,133,50.0,0.1,2
